name,pop,lat,lon
Akron,36.0,41.0814447,-81.51900529999999
Albany-Schenectady-Troy,553.0,42.7636479,-73.65362089999999
Albuquerque,368.0,35.0843859,-106.650422
Allentown-Bethlehem-Easton,129.0,40.7291847,-75.2479061
Anchorage,179.0,61.2180556,-149.9002778
Ann Arbor,1243.0,42.2808256,-83.7430378
Atlanta-Sandy Springs-Roswell,4047.0,33.8498184,-84.4382721
Atlantic City-Hammonton,48.0,39.610404,-74.8226529
Austin-Round Rock,1371.0,30.5082551,-97.678896
Bakersfield,302.0,35.3732921,-119.0187125
Baltimore-Columbia-Towson,1118.0,39.372594,-76.64127119999999
Beaumont-Port Arthur,150.0,30.080174,-94.1265562
Bellingham,351.0,48.7519112,-122.4786854
Binghamton,164.0,42.09868669999999,-75.91797380000001
Birmingham-Hoover,234.0,33.4053867,-86.8113781
Bloomington,57.0,39.165325,-86.52638569999999
Boise City,102.0,43.6150186,-116.2023137
Boston-Cambridge-Newton,3685.0,42.3600709,-71.0588305
Bridgeport-Stamford-Norwalk,1608.0,41.2559654,-73.37086959999999
Buffalo-Cheektowaga-Niagara Falls,36.0,42.8518007,-78.74762079999999
Burlington-South Burlington,429.0,44.4758825,-73.21207199999999
Champaign-Urbana,391.0,40.1105875,-88.2072697
Charleston-North Charleston,56.0,32.8909785,-80.0691552
Charlotte-Concord-Gastonia,227.0,35.1223173,-80.7214417
Chicago-Naperville-Elgin,5422.0,42.2162567,-87.8549755
Cincinnati,331.0,39.0220536,-84.4382721
Cleveland-Elyria,67.0,41.3683798,-82.10764859999999
College Station-Bryan,326.0,30.825147,-96.49297969999999
Colorado Springs,71.0,38.8338816,-104.8213634
Columbia,196.0,34.0007104,-81.0348144
Columbus,732.0,39.9611755,-82.99879419999999
Corpus Christi,338.0,27.8005828,-97.39638099999999
Dallas-Fort Worth-Arlington,5835.0,32.7078751,-96.9209135
Dayton,52.0,39.7589478,-84.1916069
Denver-Aurora-Lakewood,928.0,39.5142848,-104.8454619
Des Moines-West Des Moines,271.0,41.5638902,-93.75938409999999
Detroit-Warren-Dearborn,759.0,42.341377,-83.275533
El Paso,137.0,31.7618778,-106.4850217
Fort Wayne,93.0,41.079273,-85.1393513
Fresno,138.0,36.7377981,-119.7871247
Gainesville,681.0,29.6516344,-82.32482619999999
Gainesville,138.0,34.2978794,-83.8240663
Greensboro-High Point,125.0,35.9556923,-80.0053176
Greenville,243.0,35.612661,-77.3663538
Harrisburg-Carlisle,795.0,40.3157054,-77.10249019999999
Hartford-West Hartford-East Hartford,63.0,41.7658043,-72.6733723
Hilton Head Island-Bluffton-Beaufort,106.0,32.2371465,-80.8603868
Houston-The Woodlands-Sugar Land,6338.0,29.5984434,-95.6225521
Huntsville,233.0,34.7303688,-86.5861037
Indianapolis-Carmel-Anderson,216.0,39.83618999999999,-86.17517590000001
Iowa City,199.0,41.6611277,-91.5301683
Ithaca,174.0,42.4439614,-76.5018807
Jacksonville,63.0,30.3321838,-81.65565099999999
Jefferson City,322.0,38.57670170000001,-92.1735164
Joplin,154.0,37.08422710000001,-94.51328099999999
Kalamazoo-Portage,93.0,42.2011538,-85.5800022
Kansas City,498.0,39.0997265,-94.5785667
Knoxville,255.0,35.9606384,-83.9207392
Lafayette-West Lafayette,66.0,40.4258686,-86.90806549999999
Lansing-East Lansing,377.0,42.7369792,-84.48386540000001
Las Vegas-Henderson-Paradise,1110.0,36.0971945,-115.1466648
Los Angeles-Long Beach-Anaheim,42134.0,34.0522166,-118.2436619
Louisville/Jefferson County,1004.0,38.2526647,-85.7584557
Lubbock,20.0,33.5778631,-101.8551665
Manchester-Nashua,69.0,42.83347939999999,-71.6673352
Memphis,769.0,35.0387247,-89.8505012
Merced,149.0,37.3021632,-120.4829677
Miami-Fort Lauderdale-West Palm Beach,1098.0,26.3013917,-80.6326916
Milwaukee-Waukesha-West Allis,110.0,43.0166806,-88.0070315
Minneapolis-St. Paul-Bloomington,1483.0,44.840798,-93.2982799
Napa,155.0,38.2975381,-122.286865
Nashville-Davidson--Murfreesboro--Franklin,258.0,36.2144014,-86.5804473
New Haven-Milford,199.0,41.2306979,-73.064036
New York-Newark-Jersey City,17367.0,40.7127761,-74.0059544
Olympia-Tumwater,145.0,47.0073187,-122.9093063
Omaha-Council Bluffs,45.0,41.2619444,-95.8608333
Orlando-Kissimmee-Sanford,982.0,28.5828156,-81.3399414
Oxnard-Thousand Oaks-Ventura,323.0,34.1705609,-118.8375937
Pensacola-Ferry Pass-Brent,190.0,30.4332772,-87.19996599999999
Philadelphia-Camden-Wilmington,3579.0,39.9526322,-75.1652419
Phoenix-Mesa-Scottsdale,1978.0,33.4982289,-112.2384017
Pittsburgh,172.0,40.44062479999999,-79.9958864
Portland-Vancouver-Hillsboro,3084.0,45.65367579999999,-122.5462872
Providence-Warwick,489.0,41.8239891,-71.4128343
Provo-Orem,84.0,40.2968979,-111.6946475
Raleigh,927.0,35.7795897,-78.6381787
Reno,76.0,39.5296329,-119.8138027
Richmond,498.0,37.5407246,-77.4360481
Riverside-San Bernardino-Ontario,5007.0,34.0633443,-117.6508876
Roanoke,45.0,37.2709704,-79.9414266
Rochester,306.0,43.15657789999999,-77.6088465
Sacramento--Roseville--Arden-Arcade,1319.0,38.6008071,-121.3770336
St. Louis,1132.0,38.6270025,-90.19940419999999
Salinas,240.0,36.6777372,-121.6555013
Salt Lake City,491.0,40.7607793,-111.8910474
San Antonio-New Braunfels,558.0,29.4249213,-98.4930675
San Diego-Carlsbad,4018.0,33.1580933,-117.3505939
San Francisco-Oakland-Hayward,16306.0,37.6687665,-122.0809964
San Jose-Sunnyvale-Santa Clara,15035.0,37.36883,-122.0363496
San Luis Obispo-Paso Robles-Arroyo Grande,85.0,35.6368759,-120.6545022
Santa Cruz-Watsonville,582.0,36.910231,-121.7568946
Santa Maria-Santa Barbara,366.0,34.9530337,-120.4357191
Santa Rosa,308.0,38.440429,-122.7140548
Scranton--Wilkes-Barre--Hazleton,86.0,41.2459149,-75.88130749999999
Seattle-Tacoma-Bellevue,10348.0,47.6061031,-122.3320534
Spokane-Spokane Valley,82.0,47.6732281,-117.2393748
Springfield,613.0,39.78172130000001,-89.6501481
Tampa-St. Petersburg-Clearwater,542.0,28.274347,-82.38857829999999
Toledo,489.0,41.6528052,-83.5378674
Trenton,246.0,40.2205824,-74.759717
Tucson,302.0,32.2226066,-110.9747108
Urban Honolulu,740.0,21.3069444,-157.8583333
Vallejo-Fairfield,212.0,38.1040864,-122.2566367
Virginia Beach-Norfolk-Newport News,228.0,36.8507689,-76.28587259999999
Washington-Arlington-Alexandria,6317.0,39.1289725,-77.3783789
Winston-Salem,205.0,36.09985959999999,-80.244216
Youngstown-Warren-Boardman,199.0,41.291972,-80.54384499999999
